,,,Epoch,Training Loss
,,,0,139
,,,1,3.55
,,,2,3.29
,,,3,3.22
,,,4,3.14
,,,5,3.15
,,,6,2.98
,,,7,2.84
,,,8,2.61
,,,9,2.34
,,,10,2.18
,,,11,2.01
,,,12,1.94
,,,13,1.61
,,,14,1.42
,,,15,1.25
,,,16,1.26
,,,17,1.14
,,,18,1.18
,,,19,1.01
,,,20,1.05
,,,21,0.942
,,,22,0.897
,,,23,0.873
,,,24,0.88
,,,25,0.796
,,,26,0.8
,,,27,0.744
,,,28,0.721
,,,29,0.681
,,,30,0.675
,,,31,0.63
,,,32,0.571
,,,33,0.595
,,,34,0.555
,,,35,0.523
,,,36,0.487
,,,37,0.451
,,,38,0.469
,,,39,0.453
,,,40,0.401
,,,41,0.418
,,,42,0.368
,,,43,0.374
,,,44,0.356
,,,45,0.348
,,,46,0.348
,,,47,0.332
,,,48,0.342
,,,49,0.331
